DATE DE MISE A JOUR DES TARIFS : 27/09/2019;
Code article;Marque;Famille;Sous-famille;PVGC T.T.C.;Coeff.;Commentaires;P;Gamme;Prix facture fournisseur;R HF D;R HF C;R P PR;Prix net fournisseur;Prix net grossiste;Code barre;
K1664X6;NEFF;FROID;Réfrigérateur 1pte intégrable;849;2.24;;P;;417.28;9;0;0;379.72;412.53;4242004099376;
K1554X8;NEFF;FROID;Réfrigérateur 1pte intégrable;719;2.24;;P;;353.46;9;0;0;321.65;349.43;4242004160441;
K1544X8;NEFF;FROID;Réfrigérateur 1pte intégrable;689;2.24;;P;;338.73;9;0;0;308.24;334.88;4242004160458;
KI2823F30;NEFF;FROID;Réfrigérateur 1pte intégrable;1149;2.24;;P;R;564.55;9;0;0;513.74;558.13;4242004165811;
K1544X0FF;NEFF;FROID;Réfrigérateur 1pte intégrable;629;2.23;;P;;309.27;9;0;0;281.44;305.76;4242004129622;
KI2822S30;NEFF;FROID;Réfrigérateur 1pte intégrable;1049;2.24;;P;R;515.46;9;0;0;469.07;509.6;4242004197966;
KI1813F30;NEFF;FROID;Réfrigérateur 1pte intégrable;1129;2.24;;P;R;554.73;9;0;0;504.8;548.42;4242004160106;
KI1812S30;NEFF;FROID;Réfrigérateur 1pte intégrable;1019;2.24;;P;R;500.73;9;0;0;455.66;495.04;4242004197027;
KI2423F30;NEFF;FROID;Réfrigérateur 1pte intégrable;849;2.24;;P;;417.28;9;0;0;379.72;412.53;4242004165644;
K1554X0FF;NEFF;FROID;Réfrigérateur 1pte intégrable;659;2.24;;P;R;324;9;0;0;294.84;320.31;4242004129479;
KI2323F30;NEFF;FROID;Réfrigérateur 1pte intégrable;789;2.24;;P;;387.82;9;0;0;352.92;383.41;4242004166047;
KI1413F30;NEFF;FROID;Réfrigérateur 1pte intégrable;819;2.24;;P;;402.55;9;0;0;366.32;397.97;4242004165965;
KI1313F30;NEFF;FROID;Réfrigérateur 1pte intégrable;769;2.24;;P;;378;9;0;0;343.98;373.7;4242004166016;
KI7862S30;NEFF;FROID;Réfrigérateur combi intégrable;1049;2.24;;P;;515.46;9;0;0;469.07;509.6;4242004189015;
KI5862S30;NEFF;FROID;Réfrigérateur combi intégrable;939;2.24;;P;R;461.46;9;0;0;419.93;456.21;4242004189220;
KI5862U30;NEFF;FROID;Réfrigérateur combi intégrable;969;2.24;;P;;476.19;9;0;0;433.33;470.77;4242004192220;
K4400X7FF;NEFF;FROID;Réfrigérateur combi intégrable;1049;2.63;;P;;438.4;9;0;0;398.94;433.41;4242004118091;
K1524X7FF;NEFF;FROID;Réfrigérateur combi intégrable;659;2.24;;P;;324;9;0;0;294.84;320.31;4242004124559;
